dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl500_mr025_nv10_12,0.792,0.792,0.792,0.736,0.736,0.736
SEIR015_sl500_mr025_nv10_13,0.821,0.821,0.821,0.667,0.857,0.75
SEIR015_sl500_mr025_nv10_14,1,0.778,0.875,0.9,1,0.947
SEIR015_sl500_mr025_nv10_15,0.85,0.879,0.864,0.776,0.897,0.832
SEIR015_sl500_mr025_nv10_16,0.786,0.917,0.846,0.625,0.833,0.714
SEIR015_sl500_mr025_nv10_17,0.8,0.857,0.828,0.857,0.857,0.857
SEIR015_sl500_mr025_nv10_18,0.75,0.577,0.652,0.613,0.731,0.667
SEIR015_sl500_mr025_nv10_19,1,1,1,0.909,1,0.952
SEIR015_sl500_mr025_nv10_2,1,0.875,0.933,0.778,0.875,0.824
SEIR015_sl500_mr025_nv10_20,0.883,0.828,0.855,0.79,0.766,0.778
SEIR015_sl500_mr025_nv10_3,0.806,0.676,0.735,0.676,0.676,0.676
SEIR015_sl500_mr025_nv10_4,0.81,0.829,0.819,0.78,0.78,0.78
SEIR015_sl500_mr025_nv10_5,0.917,0.786,0.846,0.824,1,0.903
SEIR015_sl500_mr025_nv10_6,0.722,0.684,0.703,0.667,0.737,0.7
SEIR015_sl500_mr025_nv10_7,0.879,0.823,0.85,0.75,0.774,0.762
SEIR015_sl500_mr025_nv10_8,0.797,0.761,0.779,0.791,0.791,0.791
SEIR015_sl500_mr025_nv10_9,0.714,0.909,0.8,0.714,0.909,0.8
SEIR01_sl1000_mr0125_nv10_1,0.867,0.722,0.788,0.762,0.889,0.821
SEIR01_sl1000_mr0125_nv10_10,0.963,0.963,0.963,0.879,0.944,0.911
SEIR01_sl1000_mr0125_nv10_11,1,1,1,0.812,1,0.897
SEIR01_sl1000_mr0125_nv10_12,1,0.4,0.571,0.75,0.6,0.667
SEIR01_sl1000_mr0125_nv10_13,1,1,1,0.909,1,0.952
SEIR01_sl1000_mr0125_nv10_14,0.964,0.9,0.931,0.906,0.967,0.935
SEIR01_sl1000_mr0125_nv10_15,1,0.917,0.957,0.828,1,0.906
SEIR01_sl1000_mr0125_nv10_16,1,0.714,0.833,0.778,1,0.875
SEIR01_sl1000_mr0125_nv10_17,1,1,1,0.923,1,0.96
SEIR01_sl1000_mr0125_nv10_18,0.935,0.956,0.945,0.918,1,0.957
SEIR01_sl1000_mr0125_nv10_19,0.963,0.867,0.912,0.853,0.967,0.906
SEIR01_sl1000_mr0125_nv10_2,1,0.923,0.96,0.897,1,0.945
SEIR01_sl1000_mr0125_nv10_20,1,0.96,0.98,1,1,1
SEIR01_sl1000_mr0125_nv10_3,0.925,0.974,0.949,0.826,1,0.905
SEIR01_sl1000_mr0125_nv10_4,0.913,0.875,0.894,0.885,0.958,0.92
SEIR01_sl1000_mr0125_nv10_5,0.955,0.894,0.923,0.9,0.957,0.928
SEIR01_sl1000_mr0125_nv10_6,0.935,0.896,0.915,0.868,0.958,0.911
SEIR01_sl1000_mr0125_nv10_7,1,0.949,0.974,0.905,0.974,0.938
SEIR01_sl1000_mr0125_nv10_8,1,1,1,0.857,1,0.923
SEIR01_sl1000_mr0125_nv10_9,0.959,1,0.979,0.87,1,0.931
SEIR01_sl1000_mr025_nv10_1,0.962,0.893,0.926,0.794,0.964,0.871
SEIR01_sl1000_mr025_nv10_10,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv10_11,0.919,0.971,0.944,0.854,1,0.921
SEIR01_sl1000_mr025_nv10_12,0.857,0.75,0.8,0.889,1,0.941
SEIR01_sl1000_mr025_nv10_13,0.947,0.9,0.923,0.76,0.95,0.844
SEIR01_sl1000_mr025_nv10_14,0.939,0.912,0.925,0.914,0.941,0.928
SEIR01_sl1000_mr025_nv10_15,1,1,1,0.909,1,0.952
SEIR01_sl1000_mr025_nv10_16,0.951,0.929,0.94,0.837,0.976,0.901
SEIR01_sl1000_mr025_nv10_17,0.884,0.844,0.864,0.833,0.889,0.86
SEIR01_sl1000_mr025_nv10_18,1,0.889,0.941,1,1,1
SEIR01_sl1000_mr025_nv10_19,0.879,0.864,0.872,0.869,0.898,0.883
SEIR01_sl1000_mr025_nv10_2,0.955,0.955,0.955,0.88,1,0.936
SEIR01_sl1000_mr025_nv10_20,1,1,1,0.944,1,0.971
SEIR01_sl1000_mr025_nv10_3,0.92,0.939,0.929,0.907,1,0.951
SEIR01_sl1000_mr025_nv10_4,0.98,0.962,0.971,0.881,1,0.937
SEIR01_sl1000_mr025_nv10_5,0.977,0.955,0.966,0.956,0.977,0.966
SEIR01_sl1000_mr025_nv10_6,1,0.857,0.923,1,1,1
SEIR01_sl1000_mr025_nv10_7,0.919,0.85,0.883,0.927,0.95,0.938
SEIR01_sl1000_mr025_nv10_8,0.917,0.815,0.863,0.897,0.963,0.929
SEIR01_sl1000_mr025_nv10_9,0.913,0.894,0.903,0.849,0.957,0.9
SEIR01_sl1000_mr025_nv20_1,0.865,1,0.928,0.816,0.969,0.886
SEIR01_sl1000_mr025_nv20_10,1,0.778,0.875,0.818,1,0.9
SEIR01_sl1000_mr025_nv20_11,1,0.8,0.889,1,1,1
SEIR01_sl1000_mr025_nv20_12,0.895,0.944,0.919,0.818,1,0.9
