dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr0125_nv10_20,1.0,0.8,0.889,1.0,0.96,0.98
SEIR01_sl1000_mr0125_nv10_3,1.0,0.842,0.914,1.0,0.684,0.813
SEIR01_sl1000_mr0125_nv10_4,0.95,0.792,0.864,1.0,0.75,0.857
SEIR01_sl1000_mr0125_nv10_5,0.974,0.809,0.884,0.974,0.787,0.871
SEIR01_sl1000_mr0125_nv10_6,0.956,0.896,0.925,1.0,0.688,0.815
SEIR01_sl1000_mr0125_nv10_7,1.0,0.949,0.974,1.0,0.795,0.886
SEIR01_sl1000_mr0125_nv10_8,1.0,0.833,0.909,1.0,0.667,0.8
SEIR01_sl1000_mr0125_nv10_9,1.0,0.957,0.978,1.0,0.766,0.867
SEIR01_sl1000_mr025_nv10_1,0.96,0.857,0.906,0.895,0.607,0.723
SEIR01_sl1000_mr025_nv10_10,1.0,0.889,0.941,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv10_11,1.0,0.829,0.906,0.966,0.8,0.875
SEIR01_sl1000_mr025_nv10_12,1.0,0.75,0.857,1.0,0.625,0.769
SEIR01_sl1000_mr025_nv10_13,0.944,0.85,0.895,0.875,0.35,0.5
SEIR01_sl1000_mr025_nv10_14,0.935,0.853,0.892,1.0,0.765,0.867
SEIR01_sl1000_mr025_nv10_15,1.0,1.0,1.0,1.0,0.8,0.889
SEIR01_sl1000_mr025_nv10_16,0.974,0.905,0.938,1.0,0.595,0.746
SEIR01_sl1000_mr025_nv10_17,0.925,0.822,0.871,1.0,0.644,0.784
SEIR01_sl1000_mr025_nv10_18,1.0,0.889,0.941,1.0,0.889,0.941
SEIR01_sl1000_mr025_nv10_19,0.918,0.763,0.833,0.974,0.644,0.776
SEIR01_sl1000_mr025_nv10_2,0.947,0.818,0.878,1.0,0.727,0.842
SEIR01_sl1000_mr025_nv10_20,1.0,0.882,0.938,1.0,0.824,0.903
SEIR01_sl1000_mr025_nv10_3,0.932,0.837,0.882,1.0,0.776,0.874
SEIR01_sl1000_mr025_nv10_4,0.979,0.885,0.929,1.0,0.712,0.831
SEIR01_sl1000_mr025_nv10_5,0.95,0.864,0.905,1.0,0.795,0.886
SEIR01_sl1000_mr025_nv10_6,1.0,0.857,0.923,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv10_7,0.969,0.775,0.861,1.0,0.8,0.889
SEIR01_sl1000_mr025_nv10_8,0.909,0.741,0.816,1.0,0.815,0.898
SEIR01_sl1000_mr025_nv10_9,0.911,0.872,0.891,0.972,0.745,0.843
SEIR01_sl1000_mr025_nv20_1,0.931,0.844,0.885,0.957,0.688,0.8
SEIR01_sl1000_mr025_nv20_10,1.0,0.444,0.615,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv20_11,1.0,0.6,0.75,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_12,1.0,0.722,0.839,0.938,0.833,0.882
SEIR01_sl1000_mr025_nv20_13,0.917,0.759,0.83,0.978,0.776,0.865
SEIR01_sl1000_mr025_nv20_14,1.0,0.692,0.818,1.0,0.846,0.917
SEIR01_sl1000_mr025_nv20_15,0.952,0.87,0.909,0.947,0.783,0.857
SEIR01_sl1000_mr025_nv20_16,1.0,0.286,0.444,0.6,0.857,0.706
SEIR01_sl1000_mr025_nv20_17,1.0,0.84,0.913,0.955,0.84,0.894
SEIR01_sl1000_mr025_nv20_18,1.0,0.885,0.939,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_19,1.0,0.943,0.971,1.0,0.962,0.981
SEIR01_sl1000_mr025_nv20_2,0.917,0.786,0.846,1.0,0.714,0.833
SEIR01_sl1000_mr025_nv20_20,1.0,0.742,0.852,0.95,0.613,0.745
SEIR01_sl1000_mr025_nv20_3,0.944,0.81,0.872,0.941,0.762,0.842
SEIR01_sl1000_mr025_nv20_4,1.0,0.875,0.933,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_5,0.964,0.818,0.885,0.897,0.788,0.839
SEIR01_sl1000_mr025_nv20_6,1.0,0.909,0.952,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_7,0.812,0.765,0.788,0.929,0.765,0.839
SEIR01_sl1000_mr025_nv20_8,1.0,0.8,0.889,1.0,1.0,1.0
SEIR01_sl1000_mr025_nv20_9,1.0,0.917,0.957,1.0,0.917,0.957
SEIR01_sl1000_mr025_nv5_1,0.917,0.805,0.857,1.0,0.659,0.794
SEIR01_sl1000_mr025_nv5_10,0.944,0.515,0.667,1.0,0.303,0.465
SEIR01_sl1000_mr025_nv5_11,1.0,0.632,0.774,0.923,0.632,0.75
SEIR01_sl1000_mr025_nv5_12,0.929,0.684,0.788,1.0,0.368,0.538
SEIR01_sl1000_mr025_nv5_13,1.0,0.667,0.8,1.0,0.833,0.909
SEIR01_sl1000_mr025_nv5_14,0.917,0.55,0.687,1.0,0.7,0.824
SEIR01_sl1000_mr025_nv5_15,0.885,0.852,0.868,1.0,0.704,0.826
SEIR01_sl1000_mr025_nv5_16,0.923,0.667,0.774,0.909,0.556,0.69
SEIR01_sl1000_mr025_nv5_17,1.0,0.818,0.9,1.0,0.818,0.9
SEIR01_sl1000_mr025_nv5_18,0.906,0.617,0.734,1.0,0.66,0.795
SEIR01_sl1000_mr025_nv5_19,0.982,0.966,0.974,1.0,0.741,0.851
SEIR01_sl1000_mr025_nv5_2,1.0,0.625,0.769,1.0,0.625,0.769
SEIR01_sl1000_mr025_nv5_20,1.0,0.708,0.829,1.0,0.583,0.737
SEIR01_sl1000_mr025_nv5_3,1.0,0.9,0.947,1.0,0.9,0.947
SEIR01_sl1000_mr025_nv5_4,0.867,0.78,0.821,1.0,0.66,0.795
SEIR01_sl1000_mr025_nv5_5,0.804,0.725,0.763,0.957,0.431,0.595
SEIR01_sl1000_mr025_nv5_6,1.0,1.0,1.0,1.0,0.75,0.857
SEIR01_sl1000_mr025_nv5_7,1.0,0.7,0.824,1.0,0.9,0.947
SEIR01_sl1000_mr025_nv5_8,0.95,0.826,0.884,1.0,0.739,0.85
SEIR01_sl1000_mr025_nv5_9,1.0,0.667,0.8,1.0,0.333,0.5
SEIR01_sl1000_mr05_nv10_1,1.0,0.846,0.917,1.0,0.692,0.818
SEIR01_sl1000_mr05_nv10_10,1.0,0.714,0.833,1.0,1.0,1.0
SEIR01_sl1000_mr05_nv10_11,0.96,0.75,0.842,0.846,0.688,0.759
SEIR01_sl1000_mr05_nv10_12,0.94,0.81,0.87,0.956,0.741,0.835
SEIR01_sl1000_mr05_nv10_13,1.0,0.875,0.933,1.0,0.5,0.667
SEIR01_sl1000_mr05_nv10_14,0.935,0.744,0.829,0.96,0.615,0.75
SEIR01_sl1000_mr05_nv10_15,0.929,0.812,0.867,1.0,0.875,0.933
SEIR01_sl1000_mr05_nv10_16,1.0,0.955,0.977,1.0,0.909,0.952
